い形容詞,〜い + N形,〜いです形,〜くて形,〜かった形,〜くない形,〜くなかった形,〜ければ形,〜い。形,〜く形,,,
赤い,あかい,あかいです,あかくて,あかかった,あかくない,あかくなかった,あかければ,あかいあかい,あかく,,,
美味しい,おいしいおいしい,おいしいです,おいしくておいしくて,おいしかったおいしかった,おいしくないおいしくないおいしくない,おいしくなかったおいしくなかったおいしくなかった,おいしければおいしければ,おいしいおいしい,おいしくおいしくおいしく,,,
冷たい,つめたい,つめたいです,つめたくて,つめたかった,つめたくない,つめたくなかった,つめたければ,つめたいつめたい,つめたく,,,
易しい,やさしい,やさしいです,やさしくて,やさしかった,やさしくない,やさしくなかった,やさしければ,やさしいやさしい,やさしく,,,
難しい,むずかしいむずかしい,むずかしいです,むずかしくてむずかしくて,むずかしかったむずかしかった,むずかしくないむずかしくないむずかしくない,むずかしくなかったむずかしくなかったむずかしくなかった,むずかしければむずかしければ,むずかしいむずかしい,むずかしくむずかしくむずかしく,,,
いい,いい,いいです,よくて,よかった,よくない,よくなかった,よければ,いい,よく,,,
良い,よい,よいです,よくて,よかった,よくない,よくなかった,よければ,よい,よく,,,
青い,あおい,あおいです,あおくてあおくて,あおかったあおかった,あおくないあおくない,あおくなかったあおくなかった,あおければあおければ,あおい,あおくあおく,,,
暑い,あつい,あついです,あつくてあつくて,あつかったあつかった,あつくないあつくない,あつくなかったあつくなかった,あつければあつければ,あつい,あつくあつく,,,
熱い,あつい,あついです,あつくてあつくて,あつかったあつかった,あつくないあつくない,あつくなかったあつくなかった,あつければあつければ,あつい,あつくあつく,,,
黒い,くろい,くろいです,くろくてくろくて,くろかったくろかった,くろくないくろくない,くろくなかったくろくなかった,くろければくろければ,くろい,くろくくろく,,,
寒い,さむい,さむいです,さむくてさむくて,さむかったさむかった,さむくないさむくない,さむくなかったさむくなかった,さむければさむければ,さむい,さむくさむく,,,
白い,しろい,しろいです,しろくてしろくて,しろかったしろかった,しろくないしろくない,しろくなかったしろくなかった,しろければしろければ,しろい,しろくしろく,,,
高い,たかい,たかいです,たかくてたかくて,たかかったたかかった,たかくないたかくない,たかくなかったたかくなかった,たかければたかければ,たかい,たかくたかく,,,
低い,ひくい,ひくいです,ひくくてひくくて,ひくかったひくかった,ひくくないひくくない,ひくくなかったひくくなかった,ひくければひくければ,ひくい,ひくくひくく,,,
古い,ふるい,ふるいです,ふるくてふるくて,ふるかったふるかった,ふるくないふるくない,ふるくなかったふるくなかった,ふるければふるければ,ふるい,ふるくふるく,,,
安い,やすい,やすいです,やすくてやすくて,やすかったやすかった,やすくないやすくない,やすくなかったやすくなかった,やすければやすければ,やすい,やすくやすく,,,
悪い,わるい,わるいです,わるくてわるくて,わるかったわるかった,わるくないわるくない,わるくなかったわるくなかった,わるければわるければ,わるい,わるくわるく,,,
大きい,おおきい,おおきいです,おおきくておおきくて,おおきかったおおきかった,おおきくないおおきくない,おおきくなかったおおきくなかった,おおきければおおきければ,おおきい,おおきくおおきく,,,
楽しい,たのしい,たのしいです,たのしくてたのしくて,たのしかったたのしかった,たのしくないたのしくない,たのしくなかったたのしくなかった,たのしければたのしければ,たのしい,たのしくたのしく,,,
小さい,ちいさい,ちいさいです,ちいさくてちいさくて,ちいさかったちいさかった,ちいさくないちいさくない,ちいさくなかったちいさくなかった,ちいさければちいさければ,ちいさい,ちいさくちいさく,,,
新しい,あたらしい,あたらしいです,あたらしくてあたらしくて,あたらしかったあたらしかった,あたらしくないあたらしくない,あたらしくなかったあたらしくなかった,あたらしければあたらしければ,あたらしい,あたらしくあたらしく,,,
忙しい,いそがしい,いそがしいです,いそがしくていそがしくて,いそがしかったいそがしかった,いそがしくないいそがしくない,いそがしくなかったいそがしくなかった,いそがしければいそがしければ,いそがしい,いそがしくいそがしく,,,
面白い,おもしろい,おもしろいです,おもしろくておもしろくて,おもしろかったおもしろかった,おもしろくないおもしろくない,おもしろくなかったおもしろくなかった,おもしろければおもしろければ,おもしろい,おもしろくおもしろく,,,
