な形容詞,〜な + N形,〜です形,〜で形,〜だった形,〜じゃない形,〜じゃなかった形,〜ならば形,〜だ形,〜に形,,,
暇[な],ひまな,ひまです,ひまで,ひまだった,ひまじゃない,ひまじゃなかった,ひまならば,ひまだ,ひまに,,,
素敵[な],すてきな,すてきです,すてきで,すてきだった,すてきじゃない,すてきじゃなかった,すてきならば,すてきだ,すてきに,,,
有名[な],ゆうめいな,ゆうめいです,ゆうめいで,ゆうめいだった,ゆうめいじゃない,ゆうめいじゃなかった,ゆうめいならば,ゆうめいだ,ゆうめいに,,,
きれい[な],きれいな,きれいです,きれいで,きれいだった,きれいじゃない,きれいじゃなかった,きれいならば,きれいだ,きれいに,,,
元気[な],げんきな,げんきです,げんきで,げんきだった,げんきじゃない,げんきじゃなかった,げんきならば,げんきだ,げんきに,,,
静か[な],しずかな,しずかです,しずかで,しずかだった,しずかじゃない,しずかじゃなかった,しずかならば,しずかだ,しずかに,,,
便利[な],べんりな,べんりです,べんりで,べんりだった,べんりじゃない,べんりじゃなかった,べんりならば,べんりだ,べんりに,,,
親切[な],しんせつな,しんせつです,しんせつで,しんせつだった,しんせつじゃない,しんせつじゃなかった,しんせつならば,しんせつだ,しんせつに,,,
ハンサム[な],はんさむな,はんさむです,はんさむで,はんさむだった,はんさむじゃない,はんさむじゃなかった,はんさむならば,はんさむだ,はんさむに,,,
賑やか[な],にぎやかな,にぎやかです,にぎやかで,にぎやかだった,にぎやかじゃない,にぎやかじゃなかった,にぎやかならば,にぎやかだ,にぎやかに,,,
